symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
ETH/USDT,short,swing_low_continuation,2022-04-30 23:30:00+00:00,2022-05-01 05:00:00+00:00,2735.49,2792.1133316,36082.21,-746.8844,-1.0,sl,11
BTC/USDT,short,swing_low_continuation,2022-04-30 23:30:00+00:00,2022-05-01 15:00:00+00:00,37740.71,38245.01608551,36082.21,-482.1446,-1.0,sl,31
ETH/USDT,short,swing_low_continuation,2022-05-01 11:30:00+00:00,2022-05-01 15:30:00+00:00,2762.67,2815.63228436,35261.01,-675.9778,-1.0,sl,8
ETH/USDT,short,swing_low_continuation,2022-05-05 18:30:00+00:00,2022-05-06 11:00:00+00:00,2718.78,2661.86712209,34855.67,729.6422,0.6047,tp,33
SOL/USDT,short,swing_low_continuation,2022-05-05 18:30:00+00:00,2022-05-07 04:30:00+00:00,82.06,79.3481951,34855.67,1151.8618,0.5721,tp,68
BTC/USDT,short,swing_low_continuation,2022-05-06 11:30:00+00:00,2022-05-07 21:30:00+00:00,35725.73,35023.06666812,35111.04,690.5734,0.701,tp,68
ETH/USDT,short,swing_low_continuation,2022-05-06 11:30:00+00:00,2022-05-07 22:30:00+00:00,2670.59,2615.33460838,35111.04,726.459,0.6794,tp,70
BTC/USDT,short,swing_low_continuation,2022-05-07 22:00:00+00:00,2022-05-07 23:00:00+00:00,35026.37,35581.08705077,35755.89,-566.2706,-1.0,sl,2
ETH/USDT,short,swing_low_continuation,2022-05-07 23:00:00+00:00,2022-05-08 02:30:00+00:00,2602.95,2554.25846692,36010.15,673.6162,0.8,tp,7
SOL/USDT,short,swing_low_continuation,2022-05-07 23:00:00+00:00,2022-05-08 17:00:00+00:00,77.85,75.54030623,36010.15,1068.3676,0.8,tp,36
BTC/USDT,short,swing_low_continuation,2022-05-08 03:00:00+00:00,2022-05-08 17:00:00+00:00,34575.76,33911.30677262,36047.73,692.7405,0.8,tp,28
ETH/USDT,short,swing_low_continuation,2022-05-08 03:00:00+00:00,2022-05-08 17:00:00+00:00,2549.51,2488.90467054,36047.73,856.9037,0.8002,tp,28
BTC/USDT,short,swing_low_continuation,2022-05-08 17:30:00+00:00,2022-05-09 02:30:00+00:00,33987.97,33431.4985925,36964.03,605.1972,0.6343,tp,18
SOL/USDT,short,swing_low_continuation,2022-05-08 17:30:00+00:00,2022-05-09 10:00:00+00:00,75.21,72.37777673,36964.03,1391.9743,0.8906,tp,33
BTC/USDT,short,swing_low_continuation,2022-05-09 03:00:00+00:00,2022-05-09 10:30:00+00:00,33496.16,32756.30619171,37175.85,821.1298,0.8,tp,15
ETH/USDT,short,swing_low_continuation,2022-05-09 03:00:00+00:00,2022-05-09 10:30:00+00:00,2442.26,2377.60091661,37175.85,984.2344,0.8002,tp,15
BTC/USDT,short,swing_low_continuation,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,32822.21,32013.4067859,38294.92,943.6615,0.8,tp,11
SOL/USDT,short,swing_low_continuation,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,71.43,68.4001525,38294.92,1624.3563,0.8048,tp,11
ETH/USDT,short,swing_low_continuation,2022-05-09 11:00:00+00:00,2022-05-09 17:00:00+00:00,2377.6,2306.24183293,38294.92,1149.3335,0.8,tp,12
BTC/USDT,short,swing_low_continuation,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,31692.09,30704.23546396,39193.72,1221.6832,0.8,tp,3
SOL/USDT,short,swing_low_continuation,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,66.76,63.05781536,39193.72,2173.4929,0.7923,tp,3
ETH/USDT,short,swing_low_continuation,2022-05-09 19:00:00+00:00,2022-05-10 05:30:00+00:00,2285.05,2407.0694472,40784.3,-2177.8419,-1.0,sl,21
BTC/USDT,short,swing_low_continuation,2022-05-10 14:30:00+00:00,2022-05-11 12:30:00+00:00,31625.85,29616.93334919,40022.06,2542.2552,1.5513,tp,44
BTC/USDT,short,swing_low_continuation,2022-05-12 03:30:00+00:00,2022-05-13 03:30:00+00:00,28526.45,30780.12321581,40911.85,-3232.1561,-1.0,sl,48
BTC/USDT,short,swing_low_continuation,2022-05-14 15:30:00+00:00,2022-05-14 18:00:00+00:00,28930.29,29813.87768318,39780.59,-1214.9771,-1.0,sl,5
