symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
ETH,SLC,-1,2022-04-11 09:00:00+00:00,2022-04-11 09:30:00+00:00,3161.12,3110.4849365320065,TP,43597.8840892829,698.3543,0.0,0.0,698.3543
BTC,SLC,-1,2022-04-11 03:00:00+00:00,2022-04-11 10:00:00+00:00,41929.33,41279.65006329029,TP,42911.06414955592,664.8916,0.0,0.0,664.8916
BTC,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,41416.22,40770.685629820844,TP,44143.18241665496,688.0382,0.0,0.0,688.0382
ETH,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,3080.81,3021.3717267797206,TP,44143.18241665496,851.6574,0.0,0.0,851.6574
ETH,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 16:30:00+00:00,3047.92,2982.659491840785,TP,44759.06064402942,958.3582,0.0,0.0,958.3582
BTC,SLC,-1,2022-04-11 18:00:00+00:00,2022-04-11 20:00:00+00:00,40459.07,39673.268225179614,TP,45142.40391319114,876.7621,0.0,0.0,876.7621
SOL,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 21:30:00+00:00,103.07,99.19075409676728,TP,44759.06064402942,1684.5969,0.0,0.0,1684.5969
BTC,SLC,-1,2022-04-11 22:00:00+00:00,2022-04-12 12:30:00+00:00,39395.29,40535.48131711543,SL,46166.947532938655,-1336.1788,0.0,0.0,-1336.1788
BTC,SLC,-1,2022-04-12 19:00:00+00:00,2022-04-13 14:00:00+00:00,39667.85,40670.33461065675,SL,45632.47599875495,-1153.2224,0.0,0.0,-1153.2224
BTC,SLC,-1,2022-04-11 20:00:00+00:00,2022-04-13 15:00:00+00:00,39985.34,41026.978213932685,SL,45493.108772345295,-1185.1184,0.0,0.0,-1185.1184
BTC,SLC,-1,2022-04-14 19:00:00+00:00,2022-04-15 14:30:00+00:00,39658.99,40482.103790348694,SL,44697.13967702694,-927.6795,0.0,0.0,-927.6795
BTC,SLC,-1,2022-04-16 10:00:00+00:00,2022-04-17 18:00:00+00:00,40328.8,39972.32127807266,TP,44326.067876587214,391.8118,0.0,0.0,391.8118
SOL,SLC,-1,2022-04-18 09:00:00+00:00,2022-04-18 14:00:00+00:00,95.47,99.13143586780012,SL,44482.79259961106,-1705.9903,0.0,0.0,-1705.9903
BTC,PBL,1,2022-04-21 17:30:00+00:00,2022-04-21 19:30:00+00:00,41924.94,41280.16720948226,SL,43800.39648638541,-673.6158,0.0,0.0,-673.6158
BTC,SLC,-1,2022-04-22 09:00:00+00:00,2022-04-22 15:00:00+00:00,40407.33,39717.03320065568,TP,43530.95014854154,743.659,0.0,0.0,743.659
BTC,SLC,-1,2022-04-22 10:00:00+00:00,2022-04-22 15:00:00+00:00,40298.26,39617.75154346599,TP,43530.95014854154,735.0982,0.0,0.0,735.0982
BTC,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-24 16:30:00+00:00,39866.99,39137.67080663584,TP,44122.453050824,807.1678,0.0,0.0,807.1678
SOL,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-25 00:00:00+00:00,100.26,97.49297818035024,TP,44122.453050824,1217.7119,0.0,0.0,1217.7119
ETH,SLC,-1,2022-04-25 06:00:00+00:00,2022-04-25 07:00:00+00:00,2850.44,2804.93172570309,TP,44932.404924425326,717.3616,0.0,0.0,717.3616
BTC,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 14:30:00+00:00,38636.35,39365.71116530823,SL,45219.349565690616,-853.6323,0.0,0.0,-853.6323
SOL,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 16:30:00+00:00,95.77,98.53876425800622,SL,45219.349565690616,-1307.3167,0.0,0.0,-1307.3167
ETH,SLC,-1,2022-04-26 19:00:00+00:00,2022-04-26 23:00:00+00:00,2856.59,2793.407797542907,TP,44354.9699597901,981.0455,0.0,0.0,981.0455
SOL,SLC,-1,2022-04-26 23:00:00+00:00,2022-04-27 08:00:00+00:00,96.36,99.57912117906247,SL,44747.38814958671,-1494.8865,0.0,0.0,-1494.8865
BTC,SLC,-1,2022-04-26 18:00:00+00:00,2022-04-27 13:30:00+00:00,38399.09,39445.776216899656,SL,44354.9699597901,-1209.0322,0.0,0.0,-1209.0322
ETH,SLC,-1,2022-04-27 15:00:00+00:00,2022-04-28 07:30:00+00:00,2842.7,2934.695660271157,SL,43665.82066803885,-1413.1164,0.0,0.0,-1413.1164
SOL,SLC,-1,2022-04-29 20:00:00+00:00,2022-04-30 17:30:00+00:00,92.93,90.45243854728513,TP,43100.5741061592,1149.0834,0.0,0.0,1149.0834
SOL,SLC,-1,2022-04-30 18:00:00+00:00,2022-04-30 22:00:00+00:00,90.54,88.48493975835824,TP,43560.20746888512,988.7216,0.0,0.0,988.7216
SOL,SLC,-1,2022-04-30 22:00:00+00:00,2022-04-30 22:30:00+00:00,90.0,87.99964583607012,TP,43955.69609484921,976.9662,0.0,0.0,976.9662
ETH,SLC,-1,2022-04-29 20:00:00+00:00,2022-04-30 23:00:00+00:00,2792.95,2727.2514275203307,TP,43100.5741061592,1013.855,0.0,0.0,1013.855
BTC,SLC,-1,2022-04-30 23:00:00+00:00,2022-04-30 23:30:00+00:00,38250.43,37828.89537247952,TP,44752.024563778454,493.1847,0.0,0.0,493.1847
SOL,SLC,-1,2022-04-30 23:00:00+00:00,2022-05-01 05:00:00+00:00,85.37,88.53183965456147,SL,44752.024563778454,-1657.476,0.0,0.0,-1657.476
BTC,SLC,-1,2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,37630.8,38245.01608551485,SL,44949.29845591801,-733.6698,0.0,0.0,-733.6698
SOL,SLC,-1,2022-05-01 15:00:00+00:00,2022-05-01 16:00:00+00:00,87.48,90.93308663925292,SL,43992.84013026329,-1736.5236,0.0,0.0,-1736.5236
ETH,SLC,-1,2022-05-05 19:00:00+00:00,2022-05-06 11:00:00+00:00,2729.0,2661.86712209112,TP,43298.23067220841,1065.1282,0.0,0.0,1065.1282
SOL,SLC,-1,2022-05-05 19:00:00+00:00,2022-05-07 04:30:00+00:00,82.65,79.34819509985773,TP,43298.23067220841,1729.7315,0.0,0.0,1729.7315
BTC,SLC,-1,2022-05-06 11:00:00+00:00,2022-05-07 21:00:00+00:00,35944.82,35212.009488744836,TP,43724.28194863023,891.4112,0.0,0.0,891.4112
BTC,SLC,-1,2022-05-07 05:00:00+00:00,2022-05-07 21:00:00+00:00,35746.62,35168.84306753886,TP,44416.174556983475,717.904,0.0,0.0,717.904
BTC,SLC,-1,2022-05-07 22:00:00+00:00,2022-05-07 23:00:00+00:00,35026.37,35581.08705076727,SL,45059.90061338693,-713.6193,0.0,0.0,-713.6193
ETH,SLC,-1,2022-05-07 23:00:00+00:00,2022-05-08 02:30:00+00:00,2602.95,2554.258466918405,TP,44774.45287585518,837.5638,0.0,0.0,837.5638
SOL,SLC,-1,2022-05-07 23:00:00+00:00,2022-05-08 17:00:00+00:00,77.85,75.54030622661755,TP,44774.45287585518,1328.3915,0.0,0.0,1328.3915
BTC,SLC,-1,2022-05-08 03:00:00+00:00,2022-05-08 17:00:00+00:00,34575.76,33911.30677261627,TP,45109.478405107,866.883,0.0,0.0,866.883
BTC,SLC,-1,2022-05-08 18:00:00+00:00,2022-05-09 02:30:00+00:00,34068.7,33431.49859250232,TP,45987.58818784008,860.1255,0.0,0.0,860.1255
SOL,SLC,-1,2022-05-08 18:00:00+00:00,2022-05-09 10:00:00+00:00,75.05,72.37777673104523,TP,45987.58818784008,1637.4298,0.0,0.0,1637.4298
BTC,SLC,-1,2022-05-09 03:00:00+00:00,2022-05-09 10:30:00+00:00,33496.16,32756.306191705768,TP,46331.63836786709,1023.3603,0.0,0.0,1023.3603
BTC,SLC,-1,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,32822.21,32013.406785895037,TP,47395.95437554573,1167.9287,0.0,0.0,1167.9287
SOL,SLC,-1,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,71.43,68.40015250168821,TP,47395.95437554573,2010.395,0.0,0.0,2010.395
BTC,SLC,-1,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,31692.09,30704.235463959427,TP,48667.283839620446,1516.9778,0.0,0.0,1516.9778
SOL,SLC,-1,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,66.76,63.057815357615816,TP,48667.283839620446,2698.8507,0.0,0.0,2698.8507
ETH,SLC,-1,2022-05-09 19:00:00+00:00,2022-05-10 05:30:00+00:00,2285.05,2407.06944719599,SL,50353.61522981788,-2688.8341,0.0,0.0,-2688.8341
ETH,SLC,-1,2022-05-09 20:00:00+00:00,2022-05-10 05:30:00+00:00,2270.68,2397.350200967705,SL,50353.61522981788,-2808.9835,0.0,0.0,-2808.9835
BTC,SLC,-1,2022-05-10 15:00:00+00:00,2022-05-11 12:30:00+00:00,31085.33,29616.933349186205,TP,48154.48821770368,2274.7029,0.0,0.0,2274.7029
BTC,SLC,-1,2022-05-12 04:00:00+00:00,2022-05-13 03:30:00+00:00,28406.15,30780.123215813062,SL,49064.3693638331,-4100.4324,0.0,0.0,-4100.4324
ETH,SLC,-1,2022-05-12 04:00:00+00:00,2022-05-26 12:30:00+00:00,1971.56,1797.5526268605379,TP,49064.3693638331,4330.3587,0.0,0.0,4330.3587
SOL,SLC,-1,2022-05-26 13:00:00+00:00,2022-05-26 16:00:00+00:00,43.64,45.95470548524446,SL,49156.339877061095,-2607.2972,0.0,0.0,-2607.2972
ETH,SLC,-1,2022-05-26 13:00:00+00:00,2022-05-26 16:00:00+00:00,1811.67,1880.015119754761,SL,49156.339877061095,-1854.4194,0.0,0.0,-1854.4194
SOL,SLC,-1,2022-05-27 00:00:00+00:00,2022-05-27 02:00:00+00:00,43.44,41.36990986894992,TP,47371.65325242576,2257.4492,0.0,0.0,2257.4492
ETH,SLC,-1,2022-05-27 00:00:00+00:00,2022-05-27 02:00:00+00:00,1792.24,1729.6736934544126,TP,47371.65325242576,1653.7235,0.0,0.0,1653.7235
BTC,SLC,-1,2022-05-27 02:00:00+00:00,2022-05-27 18:00:00+00:00,28959.82,28337.514314930508,TP,48936.122313961394,1051.5682,0.0,0.0,1051.5682
BTC,SLC,-1,2022-05-27 18:00:00+00:00,2022-05-28 13:00:00+00:00,28388.13,29241.34355591773,SL,49356.749612352534,-1483.4316,0.0,0.0,-1483.4316
SOL,SLC,-1,2022-05-27 02:00:00+00:00,2022-05-28 19:30:00+00:00,41.7,44.44105377645065,SL,48936.12231396139,-3216.7037,0.0,0.0,-3216.7037
BTC,PBL,1,2022-06-01 10:00:00+00:00,2022-06-01 14:00:00+00:00,31696.0,31351.53025060049,SL,47476.695523716335,-515.9732,0.0,0.0,-515.9732
BTC,PBL,1,2022-06-01 12:30:00+00:00,2022-06-01 14:30:00+00:00,31660.17,31308.90201003712,SL,47476.695523716335,-526.7515,0.0,0.0,-526.7515
SOL,SLC,-1,2022-06-01 19:00:00+00:00,2022-06-02 00:30:00+00:00,41.15,39.37138895898692,TP,47059.60564078018,2034.0397,0.0,0.0,2034.0397
SOL,SLC,-1,2022-06-01 21:00:00+00:00,2022-06-02 05:00:00+00:00,40.59,38.67124864320811,TP,47059.60564078018,2224.5795,0.0,0.0,2224.5795
SOL,SLC,-1,2022-06-02 01:00:00+00:00,2022-06-03 12:30:00+00:00,39.63,37.79091504838262,TP,47873.22152586803,2221.623,0.0,0.0,2221.623
