symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
SOL,SLC,-1,2022-03-25 17:00:00+00:00,2022-03-26 16:00:00+00:00,98.25,102.51845072842443,SL,20000.0,-868.8958,0.0,0.0,-868.8958
SOL,SLC,-1,2022-03-25 18:00:00+00:00,2022-03-26 16:00:00+00:00,97.88,102.17213281925126,SL,20000.0,-877.0194,0.0,0.0,-877.0194
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,19650.816960565677,163.3143,0.0,0.0,163.3143
SOL,SLC,-1,2022-03-29 00:00:00+00:00,2022-03-29 04:30:00+00:00,105.75,111.28291913510135,SL,19683.479819939006,-1029.8544,0.0,0.0,-1029.8544
BTC,PBL,1,2022-03-30 07:30:00+00:00,2022-03-30 13:30:00+00:00,47475.31,46902.45104482219,SL,19477.508941185115,-235.0246,0.0,0.0,-235.0246
BTC,PBL,1,2022-03-30 06:00:00+00:00,2022-03-30 19:30:00+00:00,47484.99,46866.95485070191,SL,19477.50894118511,-253.5072,0.0,0.0,-253.5072
BTC,PBL,1,2022-03-30 04:00:00+00:00,2022-03-31 14:00:00+00:00,47435.46,46786.29311524683,SL,19477.50894118511,-266.5549,0.0,0.0,-266.5549
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:00:00+00:00,45510.35,44791.42724110815,TP,19326.491611827863,305.2988,0.0,0.0,305.2988
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,19387.551369308418,-448.9728,0.0,0.0,-448.9728
ETH,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,3225.93,3315.0031488425043,SL,19387.551369308418,-535.3217,0.0,0.0,-535.3217
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,19387.551369308418,-407.3296,0.0,0.0,-407.3296
BTC,SLC,-1,2022-04-03 03:00:00+00:00,2022-04-03 15:00:00+00:00,45776.84,46681.95562792247,SL,19109.226545500056,-377.8343,0.0,0.0,-377.8343
SOL,SLC,-1,2022-04-06 04:00:00+00:00,2022-04-06 13:30:00+00:00,123.7,118.79916151474406,TP,19033.65968861853,754.0897,0.0,0.0,754.0897
BTC,SLC,-1,2022-04-06 12:00:00+00:00,2022-04-06 13:30:00+00:00,44819.19,44151.43323332477,TP,19033.65968861853,283.5807,0.0,0.0,283.5807
SOL,SLC,-1,2022-04-06 11:00:00+00:00,2022-04-06 14:00:00+00:00,122.11,117.55924085820791,TP,19033.65968861853,709.3408,0.0,0.0,709.3408
