symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
SOL/USDT,slc,short,2022-04-30 23:30:00+00:00,2022-05-01 03:30:00+00:00,84.59,88.33956539352137,-1612.15574781385
ETH/USDT,slc,short,2022-04-30 23:30:00+00:00,2022-05-01 05:00:00+00:00,2735.49,2792.1133315956577,-752.8446629961436
BTC/USDT,slc,short,2022-04-30 23:30:00+00:00,2022-05-01 15:00:00+00:00,37740.71,38245.01608551485,-485.99212440727194
ETH/USDT,slc,short,2022-05-01 11:30:00+00:00,2022-05-01 15:30:00+00:00,2762.67,2815.63228435566,-681.372249482165
BTC/USDT,slc,short,2022-05-05 18:30:00+00:00,2022-05-06 13:30:00+00:00,36184.32,35520.66453937462,644.3883109039598
SOL/USDT,slc,short,2022-05-06 04:30:00+00:00,2022-05-07 04:30:00+00:00,81.48,79.34897425848692,918.8890421430065
BTC/USDT,slc,short,2022-05-06 14:00:00+00:00,2022-05-07 22:30:00+00:00,35747.51,34892.708912817936,845.5195232403181
ETH/USDT,slc,short,2022-05-06 14:00:00+00:00,2022-05-07 22:30:00+00:00,2664.64,2595.3098409023974,920.0004172485562
ETH/USDT,slc,short,2022-05-08 01:30:00+00:00,2022-05-08 02:30:00+00:00,2615.35,2541.795029817688,1020.8823244084114
BTC/USDT,slc,short,2022-05-08 01:30:00+00:00,2022-05-08 17:00:00+00:00,35135.33,34202.39729358675,963.8284891983533
SOL/USDT,slc,short,2022-05-08 01:30:00+00:00,2022-05-08 17:00:00+00:00,78.38,74.8629966398975,1628.774650328594
BTC/USDT,slc,short,2022-05-08 17:30:00+00:00,2022-05-09 02:30:00+00:00,33987.97,33431.49859250232,615.0141078890423
SOL/USDT,slc,short,2022-05-08 17:30:00+00:00,2022-05-09 10:00:00+00:00,75.21,72.37777673104523,1414.5534032979945
BTC/USDT,slc,short,2022-05-09 03:00:00+00:00,2022-05-09 10:30:00+00:00,33496.16,32756.306191705768,834.4492394213297
ETH/USDT,slc,short,2022-05-09 03:00:00+00:00,2022-05-09 10:30:00+00:00,2442.26,2377.6009166060235,1000.1996060133978
BTC/USDT,slc,short,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,32822.21,32013.406785895037,958.9684579847163
SOL/USDT,slc,short,2022-05-09 11:00:00+00:00,2022-05-09 16:30:00+00:00,71.43,68.40015250168821,1650.7047221807093
ETH/USDT,slc,short,2022-05-09 11:00:00+00:00,2022-05-09 17:00:00+00:00,2377.6,2306.2418329325396,1167.9766704635003
BTC/USDT,slc,short,2022-05-09 17:00:00+00:00,2022-05-09 18:30:00+00:00,31692.09,30704.235463959427,1241.5001596768843
