symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,pnl_usdt,exit_reason,r_multiple,regime
SOL/USDT,long,2022-03-24 17:00:00+00:00,2022-03-25 02:00:00+00:00,101.75085,104.41580661220156,1283.3490247331347,31.302167321659866,partial_close,1.0,bull_trend
SOL/USDT,long,2022-03-24 17:00:00+00:00,2022-03-25 08:00:00+00:00,101.75085,101.75085,2605.5874138521217,-4.690057344933819,stop_loss,0.0,bull_trend
ETH/USDT,long,2022-03-24 18:00:00+00:00,2022-03-25 10:30:00+00:00,3100.02924,3149.128492324458,1292.0406137919038,18.138078427407354,partial_close,1.0,bull_trend
BTC/USDT,long,2022-03-24 18:00:00+00:00,2022-03-25 11:00:00+00:00,43837.007549999995,44418.7926168805,1320.0,15.14244688318068,partial_close,1.0,bull_trend
BTC/USDT,long,2022-03-24 18:00:00+00:00,2022-03-25 13:30:00+00:00,43837.007549999995,44934.855033761014,2679.9999999999995,62.293520581751736,take_profit,1.8870327656356158,bull_trend
BNB/USDT,long,2022-03-25 14:30:00+00:00,2022-03-25 15:00:00+00:00,418.8093,414.62003836655,3723.5489558668955,-43.948267763362296,stop_loss,-1.0,bull_trend
ETH/USDT,long,2022-03-24 18:00:00+00:00,2022-03-25 16:30:00+00:00,3100.02924,3100.02924,2623.2339734562893,-4.72182115222132,stop_loss,0.0,bull_trend
SOL/USDT,long,2022-03-26 07:00:00+00:00,2022-03-26 16:00:00+00:00,100.54024499999998,102.32290446484578,1283.6797710004316,20.45005193676155,partial_close,1.0,bull_trend
XRP/USDT,short,2022-03-25 20:00:00+00:00,2022-03-27 00:30:00+00:00,0.8257869000000001,0.8356919868882273,3883.961532200444,-53.578181784051814,stop_loss,-1.0,bear_trend
SOL/USDT,long,2022-03-26 07:00:00+00:00,2022-03-27 11:30:00+00:00,100.54024499999998,100.54024499999998,2606.258929000876,-4.691266072201577,stop_loss,0.0,bull_trend
ETH/USDT,long,2022-03-27 02:00:00+00:00,2022-03-27 12:30:00+00:00,3150.8646449999997,3126.9570566313155,3915.7485931458045,-36.75959059222519,stop_loss,-1.0,bull_trend
XRP/USDT,long,2022-03-27 08:30:00+00:00,2022-03-27 12:30:00+00:00,0.8382189,0.8321385775528101,3881.756261544567,-35.144877270251804,stop_loss,-1.0,bull_trend
BTC/USDT,long,2022-03-27 03:00:00+00:00,2022-03-27 20:30:00+00:00,44719.978814999995,45059.868582183495,1321.001034770537,7.662335589506787,partial_close,1.0,bull_trend
ETH/USDT,long,2022-03-27 17:30:00+00:00,2022-03-27 20:30:00+00:00,3177.4879499999997,3205.1690875860468,1291.6911339897265,8.92770673593686,partial_close,1.0,bull_trend
BTC/USDT,long,2022-03-27 03:00:00+00:00,2022-03-27 21:00:00+00:00,44719.978814999995,45332.711904367,2682.0324039280595,31.920346573371052,take_profit,1.8027406192437812,bull_trend
ETH/USDT,long,2022-03-27 17:30:00+00:00,2022-03-27 21:00:00+00:00,3177.4879499999997,3228.0863751720944,2622.524423554899,37.04062331668824,take_profit,1.8279026653008426,bull_trend
BNB/USDT,long,2022-03-28 02:00:00+00:00,2022-03-28 05:30:00+00:00,429.2145,434.39911865025164,1228.1713779631123,12.624764766476142,partial_close,1.0,bull_trend
SOL/USDT,long,2022-03-28 00:30:00+00:00,2022-03-28 05:30:00+00:00,106.343145,108.52274980884759,1283.8672480975076,24.003130264860157,partial_close,1.0,bull_trend
XRP/USDT,long,2022-03-28 04:30:00+00:00,2022-03-28 05:30:00+00:00,0.86713335,0.8773213653903383,1280.495158256679,12.739743291322528,partial_close,1.0,bull_trend
XRP/USDT,long,2022-03-28 04:30:00+00:00,2022-03-28 06:00:00+00:00,0.86713335,0.86713335,2599.793200096893,-4.679627760174407,stop_loss,0.0,bull_trend
SOL/USDT,long,2022-03-28 00:30:00+00:00,2022-03-28 06:00:00+00:00,106.343145,110.54291961769518,2606.6395643191818,98.25120209897551,take_profit,1.9268514184989805,bull_trend
ETH/USDT,long,2022-03-28 02:00:00+00:00,2022-03-28 09:30:00+00:00,3293.6359949999996,3341.6433163491397,1292.2772488882772,16.509852846424753,partial_close,1.0,bull_trend
XRP/USDT,long,2022-03-28 06:30:00+00:00,2022-03-28 13:00:00+00:00,0.8670333,0.8789740616931052,1280.5810638591581,15.331085606467221,partial_close,1.0,bull_trend
