time,equity,n_pos
2022-03-22 14:30:00+00:00,100000.0,0
2022-03-22 15:00:00+00:00,100000.0,0
2022-03-22 15:30:00+00:00,100000.0,0
2022-03-22 16:00:00+00:00,100000.0,0
2022-03-22 16:30:00+00:00,100000.0,0
2022-03-22 17:00:00+00:00,100000.0,0
2022-03-22 17:30:00+00:00,100000.0,0
2022-03-22 18:00:00+00:00,100000.0,0
2022-03-22 18:30:00+00:00,100000.0,0
2022-03-22 19:00:00+00:00,100000.0,0
2022-03-22 19:30:00+00:00,100000.0,0
2022-03-22 20:00:00+00:00,100000.0,0
2022-03-22 20:30:00+00:00,100000.0,0
2022-03-22 21:00:00+00:00,100000.0,0
2022-03-22 21:30:00+00:00,100000.0,0
2022-03-22 22:00:00+00:00,100000.0,0
2022-03-22 22:30:00+00:00,100000.0,0
2022-03-22 23:00:00+00:00,100000.0,0
2022-03-22 23:30:00+00:00,100000.0,0
2022-03-23 00:00:00+00:00,100000.0,0
2022-03-23 00:30:00+00:00,100000.0,0
2022-03-23 01:00:00+00:00,100000.0,0
2022-03-23 01:30:00+00:00,100000.0,0
2022-03-23 02:00:00+00:00,100000.0,0
2022-03-23 02:30:00+00:00,100000.0,0
2022-03-23 03:00:00+00:00,100000.0,0
2022-03-23 03:30:00+00:00,100000.0,0
2022-03-23 04:00:00+00:00,100000.0,0
2022-03-23 04:30:00+00:00,100000.0,0
2022-03-23 05:00:00+00:00,100000.0,0
2022-03-23 05:30:00+00:00,100000.0,0
2022-03-23 06:00:00+00:00,100000.0,0
2022-03-23 06:30:00+00:00,100000.0,0
2022-03-23 07:00:00+00:00,100000.0,0
2022-03-23 07:30:00+00:00,100000.0,0
2022-03-23 08:00:00+00:00,100000.0,0
2022-03-23 08:30:00+00:00,100000.0,0
2022-03-23 09:00:00+00:00,100000.0,0
2022-03-23 09:30:00+00:00,100000.0,0
2022-03-23 10:00:00+00:00,100000.0,0
2022-03-23 10:30:00+00:00,100000.0,0
2022-03-23 11:00:00+00:00,100000.0,0
2022-03-23 11:30:00+00:00,100000.0,0
2022-03-23 12:00:00+00:00,100000.0,0
2022-03-23 12:30:00+00:00,100000.0,0
2022-03-23 13:00:00+00:00,100000.0,0
2022-03-23 13:30:00+00:00,100000.0,0
2022-03-23 14:00:00+00:00,100000.0,0
2022-03-23 14:30:00+00:00,100000.0,0
2022-03-23 15:00:00+00:00,100000.0,0
2022-03-23 15:30:00+00:00,100000.0,0
2022-03-23 16:00:00+00:00,100000.0,0
2022-03-23 16:30:00+00:00,100000.0,0
2022-03-23 17:00:00+00:00,100000.0,0
2022-03-23 17:30:00+00:00,100000.0,0
2022-03-23 18:00:00+00:00,100000.0,0
2022-03-23 18:30:00+00:00,100000.0,0
2022-03-23 19:00:00+00:00,100000.0,0
2022-03-23 19:30:00+00:00,100000.0,0
2022-03-23 20:00:00+00:00,100000.0,0
2022-03-23 20:30:00+00:00,100000.0,0
2022-03-23 21:00:00+00:00,100000.0,0
