symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
BTC,SLC,-1,2022-04-14 19:00:00+00:00,2022-04-15 14:30:00+00:00,39658.99,40482.103790348694,SL,38581.37902943696,-800.7482,0.0,0.0,-800.7482
BTC,SLC,-1,2022-04-16 10:00:00+00:00,2022-04-17 18:00:00+00:00,40328.8,39972.32127807266,TP,38301.11715702342,338.5554,0.0,0.0,338.5554
SOL,SLC,-1,2022-04-18 09:00:00+00:00,2022-04-18 14:00:00+00:00,95.47,99.13143586780012,SL,38419.61154942745,-1473.457,0.0,0.0,-1473.457
BTC,PBL,1,2022-04-21 17:30:00+00:00,2022-04-21 19:30:00+00:00,41924.94,41280.16720948226,SL,37903.90158489506,-582.9324,0.0,0.0,-582.9324
BTC,SLC,-1,2022-04-22 09:00:00+00:00,2022-04-22 15:00:00+00:00,40407.33,39717.03320065568,TP,37699.87525739784,644.0441,0.0,0.0,644.0441
BTC,SLC,-1,2022-04-22 10:00:00+00:00,2022-04-22 15:00:00+00:00,40298.26,39617.75154346599,TP,37699.87525739784,636.6301,0.0,0.0,636.6301
BTC,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-24 16:30:00+00:00,39866.99,39137.67080663584,TP,38148.11122192541,697.8743,0.0,0.0,697.8743
SOL,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-25 00:00:00+00:00,100.26,97.49297818035024,TP,38148.111221925414,1052.8292,0.0,0.0,1052.8292
ETH,SLC,-1,2022-04-25 06:00:00+00:00,2022-04-25 07:00:00+00:00,2850.44,2804.93172570309,TP,38760.85746605624,618.8307,0.0,0.0,618.8307
BTC,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 14:30:00+00:00,38636.35,39365.71116530823,SL,38977.448205290195,-735.8003,0.0,0.0,-735.8003
SOL,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 16:30:00+00:00,95.77,98.53876425800622,SL,38977.448205290195,-1126.8598,0.0,0.0,-1126.8598
ETH,SLC,-1,2022-04-26 19:00:00+00:00,2022-04-26 23:00:00+00:00,2856.59,2793.407797542907,TP,38325.5171694173,847.6857,0.0,0.0,847.6857
SOL,SLC,-1,2022-04-26 23:00:00+00:00,2022-04-27 08:00:00+00:00,96.36,99.57912117906247,SL,38622.20717560468,-1290.2612,0.0,0.0,-1290.2612
BTC,SLC,-1,2022-04-26 18:00:00+00:00,2022-04-27 13:30:00+00:00,38399.09,39445.776216899656,SL,38325.5171694173,-1044.6808,0.0,0.0,-1044.6808
ETH,SLC,-1,2022-04-27 15:00:00+00:00,2022-04-28 07:30:00+00:00,2842.7,2934.695660271157,SL,37804.97750413244,-1223.4474,0.0,0.0,-1223.4474
SOL,SLC,-1,2022-04-29 20:00:00+00:00,2022-04-30 17:30:00+00:00,92.93,90.45243854728513,TP,37376.770921144394,996.4839,0.0,0.0,996.4839
SOL,SLC,-1,2022-04-30 18:00:00+00:00,2022-04-30 22:00:00+00:00,90.54,88.48493975835824,TP,37725.540278740584,856.2874,0.0,0.0,856.2874
SOL,SLC,-1,2022-04-30 22:00:00+00:00,2022-04-30 22:30:00+00:00,90.0,87.99964583607012,TP,38025.240856081575,845.155,0.0,0.0,845.155
