symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,regime,models_fired,score,exit_reason,duration_bars
BTC/USDT,2024-03-21 18:00:00+00:00,2024-03-22 02:00:00+00:00,68108.06587602,67195.38790515,0.05857999,-59.4092,-1.49,bull_trend,trend,0.6487,stop_loss,8
BTC/USDT,2024-03-22 07:00:00+00:00,2024-03-22 09:00:00+00:00,66895.91899287,66377.72064493,0.05960408,-36.8445,-0.92,ranging,liquidity_sweep,0.7322,stop_loss,2
BTC/USDT,2024-03-22 12:00:00+00:00,2024-03-24 01:00:00+00:00,66967.37106943,68109.19054997,0.05951675,61.9279,1.55,ranging,liquidity_sweep,0.5791,take_profit,37
BTC/USDT,2024-03-24 03:00:00+00:00,2024-03-24 07:00:00+00:00,68037.67049305,69160.11641851,0.05861518,59.761,1.5,bull_trend,trend,0.7973,take_profit,4
BTC/USDT,2024-03-24 08:00:00+00:00,2024-03-24 16:00:00+00:00,68563.49135354,67575.9267707,0.05819876,-63.4174,-1.59,bull_trend,trend,0.8114,stop_loss,8
BTC/USDT,2024-03-24 16:00:00+00:00,2024-03-24 22:00:00+00:00,67693.31707822,66901.03892421,0.05890759,-52.6177,-1.32,bull_trend,trend,0.5064,stop_loss,6
BTC/USDT,2024-03-25 15:00:00+00:00,2024-03-25 20:00:00+00:00,67745.98976413,68599.64883186,0.05882902,-56.2357,-1.41,ranging,liquidity_sweep,0.5333,stop_loss,5
BTC/USDT,2024-03-25 23:00:00+00:00,2024-03-26 09:00:00+00:00,67905.8563784,68663.26256844,0.05865562,38.4182,0.96,ranging,liquidity_sweep,0.6079,take_profit,10
BTC/USDT,2024-03-27 21:00:00+00:00,2024-03-28 05:00:00+00:00,67651.3055464,66408.60351921,0.05889716,-79.1134,-1.99,ranging,mean_reversion,1.0,stop_loss,8
BTC/USDT,2024-03-28 05:00:00+00:00,2024-03-29 04:00:00+00:00,66542.0951823,67907.67882775,0.05982965,75.6693,1.9,ranging,mean_reversion,0.86,take_profit,23
BTC/USDT,2024-03-29 04:00:00+00:00,2024-03-30 03:00:00+00:00,68135.81752055,69163.0387767,0.05847292,-66.0858,-1.66,ranging,mean_reversion,0.7654,stop_loss,23
BTC/USDT,2024-03-30 21:00:00+00:00,2024-03-31 08:00:00+00:00,70895.29148255,70306.84853863,0.05615789,-38.9929,-0.98,volatility_expansion,momentum_breakout,0.7515,stop_loss,11
BTC/USDT,2024-03-31 10:00:00+00:00,2024-03-31 12:00:00+00:00,70392.76845912,69684.54290011,0.05653507,-45.979,-1.16,bull_trend,trend,0.8,stop_loss,2
BTC/USDT,2024-03-31 14:00:00+00:00,2024-04-01 16:00:00+00:00,70289.10395133,69073.0146863,0.05659056,62.9042,1.58,bear_trend,trend,0.6626,take_profit,26
BTC/USDT,2024-04-02 02:00:00+00:00,2024-04-02 04:00:00+00:00,71205.08899558,69996.94988673,0.05589615,-73.4498,-1.85,volatility_expansion,momentum_breakout,0.5551,stop_loss,2
BTC/USDT,2024-04-02 18:00:00+00:00,2024-04-03 02:00:00+00:00,72292.02599348,74820.02280031,0.05501354,-145.1439,-3.65,ranging,mean_reversion,0.5905,stop_loss,8
BTC/USDT,2024-04-03 02:00:00+00:00,2024-04-05 00:00:00+00:00,74898.07536464,77409.13137002,0.05302019,-139.1932,-3.51,ranging,mean_reversion,0.7852,stop_loss,46
BTC/USDT,2024-04-05 01:00:00+00:00,2024-04-05 22:00:00+00:00,77709.6695412,80154.73755331,0.05102866,-130.8102,-3.3,ranging,mean_reversion,0.884,stop_loss,21
BTC/USDT,2024-04-05 22:00:00+00:00,2024-04-08 15:00:00+00:00,80099.96827838,78685.36547844,0.0494391,64.049,1.62,ranging,mean_reversion,0.8519,take_profit,65
BTC/USDT,2024-04-08 15:00:00+00:00,2024-04-08 18:00:00+00:00,78964.36563646,80441.27624454,0.05018112,68.1137,1.72,ranging,mean_reversion,1.0,take_profit,3
BTC/USDT,2024-04-09 03:00:00+00:00,2024-04-10 04:00:00+00:00,80436.99616252,79136.43872795,0.04929473,-70.0102,-1.77,bull_trend,trend,0.8398,stop_loss,25
BTC/USDT,2024-04-10 13:00:00+00:00,2024-04-11 06:00:00+00:00,77568.28770678,78701.90490205,0.05108015,-63.8921,-1.61,volatility_expansion,momentum_breakout,0.4519,stop_loss,17
BTC/USDT,2024-04-11 13:00:00+00:00,2024-04-11 22:00:00+00:00,77220.56986951,78903.60084404,0.05127559,-92.3024,-2.33,bear_trend,trend,0.5831,stop_loss,9
BTC/USDT,2024-04-11 23:00:00+00:00,2024-04-12 03:00:00+00:00,77846.32522766,76526.06127837,0.05081447,61.2053,1.55,bear_trend,liquidity_sweep,0.5606,take_profit,4
BTC/USDT,2024-04-12 19:00:00+00:00,2024-04-13 01:00:00+00:00,74811.82652548,72637.07092549,0.05290674,109.2085,2.76,bear_trend,trend,0.8114,take_profit,6
BTC/USDT,2024-04-13 08:00:00+00:00,2024-04-14 14:00:00+00:00,71976.10506,69707.25080901,0.05505021,119.0511,3.0,bear_trend,trend,1.0,take_profit,30
BTC/USDT,2024-04-14 15:00:00+00:00,2024-04-15 10:00:00+00:00,69847.34474049,68294.52271934,0.05679443,82.3074,2.07,bear_trend,trend,0.9889,take_profit,19
BTC/USDT,2024-04-16 03:00:00+00:00,2024-04-16 20:00:00+00:00,66973.0650646,65429.78142585,0.0592792,85.5981,2.16,bear_trend,trend,0.8,take_profit,17
BTC/USDT,2024-04-17 08:00:00+00:00,2024-04-17 12:00:00+00:00,62740.0414133,63439.29524693,0.06333149,-50.2781,-1.27,volatility_expansion,momentum_breakout,0.5591,stop_loss,4
BTC/USDT,2024-04-17 14:00:00+00:00,2024-04-17 17:00:00+00:00,63477.41241494,61676.50814056,0.06256225,106.7962,2.69,bear_trend,trend,0.8,take_profit,3
BTC/USDT,2024-04-17 22:00:00+00:00,2024-04-20 19:00:00+00:00,61796.37160507,62966.32683475,0.06433129,-81.2843,-2.04,bear_trend,trend,1.0,stop_loss,69
BTC/USDT,2024-04-21 17:00:00+00:00,2024-04-22 14:00:00+00:00,64160.36329569,63009.92906417,0.06190847,-77.1263,-1.94,bull_trend,trend,0.6067,stop_loss,21
BTC/USDT,2024-04-22 22:00:00+00:00,2024-04-23 13:00:00+00:00,64563.74730869,65898.02246814,0.06147211,-88.0355,-2.22,ranging,mean_reversion,0.683,stop_loss,15
BTC/USDT,2024-04-23 13:00:00+00:00,2024-04-25 08:00:00+00:00,65854.79601776,67056.07001767,0.06021156,-78.3327,-1.98,ranging,mean_reversion,0.6327,stop_loss,43
BTC/USDT,2024-04-25 08:00:00+00:00,2024-04-26 23:00:00+00:00,67060.38574971,68682.43518854,0.05908063,-101.8465,-2.57,ranging,mean_reversion,0.8434,stop_loss,39
BTC/USDT,2024-04-26 23:00:00+00:00,2024-04-27 00:00:00+00:00,68534.19164772,67968.29435634,0.05774898,26.7678,0.68,ranging,mean_reversion,0.5737,take_profit,1
BTC/USDT,2024-04-28 01:00:00+00:00,2024-04-28 05:00:00+00:00,68098.91098632,67139.58671788,0.05813206,-61.6638,-1.56,bull_trend,trend,0.6777,stop_loss,4
BTC/USDT,2024-04-28 05:00:00+00:00,2024-04-28 11:00:00+00:00,67830.19013349,66694.07287883,0.05832432,-72.1478,-1.82,bull_trend,trend,0.6946,stop_loss,6
BTC/USDT,2024-04-28 16:00:00+00:00,2024-04-29 18:00:00+00:00,65696.39274737,63317.41321028,0.06017286,137.3277,3.47,volatility_expansion,momentum_breakout,0.5054,take_profit,26
BTC/USDT,2024-04-29 18:00:00+00:00,2024-04-29 22:00:00+00:00,62858.80318789,60542.53986483,0.06297479,140.0378,3.54,volatility_expansion,momentum_breakout,0.6056,take_profit,4
BTC/USDT,2024-04-29 22:00:00+00:00,2024-05-04 04:00:00+00:00,60435.04259811,62103.74124661,0.06559108,-115.4798,-2.91,volatility_expansion,momentum_breakout,0.7707,stop_loss,102
BTC/USDT,2024-05-04 16:00:00+00:00,2024-05-05 00:00:00+00:00,63090.70438804,62428.11170474,0.06275505,-47.4887,-1.2,bull_trend,trend,1.0,stop_loss,8
BTC/USDT,2024-05-05 00:00:00+00:00,2024-05-06 14:00:00+00:00,62864.11756009,64051.76007333,0.06294911,68.7691,1.74,bull_trend,trend,0.6376,take_profit,38
BTC/USDT,2024-05-06 14:00:00+00:00,2024-05-06 18:00:00+00:00,64155.13417289,65087.70195324,0.06172335,51.5782,1.3,bull_trend,trend,0.835,take_profit,4
BTC/USDT,2024-05-07 09:00:00+00:00,2024-05-08 00:00:00+00:00,65895.25280928,65014.48043495,0.060123,-58.8577,-1.49,bull_trend,trend,1.0,stop_loss,15
BTC/USDT,2024-05-08 16:00:00+00:00,2024-05-09 06:00:00+00:00,65980.43181972,66976.40062084,0.06000794,53.7822,1.36,bull_trend,trend,0.6277,take_profit,14
BTC/USDT,2024-05-09 06:00:00+00:00,2024-05-10 02:00:00+00:00,66490.93591966,67640.55768328,0.05957774,62.4984,1.58,bull_trend,trend,0.6968,take_profit,20
BTC/USDT,2024-05-10 03:00:00+00:00,2024-05-11 03:00:00+00:00,67548.3849052,66881.35281948,0.05868031,-45.0579,-1.14,bull_trend,trend,0.8389,stop_loss,24
BTC/USDT,2024-05-11 03:00:00+00:00,2024-05-12 04:00:00+00:00,67398.28553199,66542.81056497,0.0587825,-56.192,-1.42,bull_trend,liquidity_sweep,0.6527,stop_loss,25
BTC/USDT,2024-05-13 02:00:00+00:00,2024-05-13 10:00:00+00:00,64733.48811229,65502.67333989,0.06116571,-53.0223,-1.34,bear_trend,trend,0.8634,stop_loss,8
BTC/USDT,2024-05-13 10:00:00+00:00,2024-05-13 18:00:00+00:00,65320.53066698,63826.87430207,0.06058172,84.6203,2.14,bear_trend,trend,0.6145,take_profit,8
BTC/USDT,2024-05-13 23:00:00+00:00,2024-05-14 18:00:00+00:00,63970.93489877,62731.65950287,0.06191093,70.8415,1.79,bear_trend,trend,0.8661,take_profit,19
BTC/USDT,2024-05-14 18:00:00+00:00,2024-05-18 03:00:00+00:00,63018.25907481,61341.24852499,0.06288987,99.6013,2.51,bear_trend,trend,0.7256,take_profit,81
BTC/USDT,2024-05-18 05:00:00+00:00,2024-05-18 10:00:00+00:00,61650.5354692,62225.59829513,0.06434786,-42.9824,-1.08,bear_trend,trend,0.6008,stop_loss,5
BTC/USDT,2024-05-20 15:00:00+00:00,2024-05-20 16:00:00+00:00,58483.37529046,60332.42168353,0.06780115,119.3256,3.01,accumulation,vwap_reversion,0.7,take_profit,1
BTC/USDT,2024-05-22 00:00:00+00:00,2024-05-22 07:00:00+00:00,62432.48398927,64695.04806826,0.06358693,137.8068,3.47,bull_trend,trend,0.4606,take_profit,7
BTC/USDT,2024-05-22 12:00:00+00:00,2024-05-23 07:00:00+00:00,65925.62907423,64744.53150457,0.06029961,-77.1292,-1.94,volatility_expansion,momentum_breakout,0.471,stop_loss,19
BTC/USDT,2024-05-23 14:00:00+00:00,2024-05-23 21:00:00+00:00,66233.61692103,69142.90478616,0.05997075,168.3832,4.24,bull_trend,trend,0.7131,take_profit,7
BTC/USDT,2024-05-23 21:00:00+00:00,2024-05-26 00:00:00+00:00,68187.63801814,71538.93167083,0.05834929,189.4309,4.76,bull_trend,trend,0.9965,take_profit,51
BTC/USDT,2024-05-26 00:00:00+00:00,2024-05-27 20:00:00+00:00,71281.35878159,73268.78083261,0.05592149,105.077,2.64,bull_trend,trend,1.0,take_profit,44
BTC/USDT,2024-05-29 06:00:00+00:00,2024-05-29 16:00:00+00:00,70264.4270945,68596.51316339,0.05678891,-100.6333,-2.52,ranging,mean_reversion,1.0,stop_loss,10
BTC/USDT,2024-05-29 16:00:00+00:00,2024-06-01 04:00:00+00:00,68577.23485227,66621.41260583,0.0581257,-119.5774,-3.0,ranging,mean_reversion,0.8659,stop_loss,60
BTC/USDT,2024-06-01 10:00:00+00:00,2024-06-02 06:00:00+00:00,66716.57998798,65898.09871154,0.05967317,42.9062,1.08,bear_trend,trend,0.6555,take_profit,20
BTC/USDT,2024-06-02 11:00:00+00:00,2024-06-02 22:00:00+00:00,65997.49433791,66481.43671503,0.06034759,-35.2008,-0.88,bear_trend,trend,1.0,stop_loss,11
BTC/USDT,2024-06-02 22:00:00+00:00,2024-06-03 07:00:00+00:00,66089.9655498,66681.19572355,0.06024001,-41.6143,-1.05,bear_trend,trend|liquidity_sweep,0.5217,stop_loss,9
BTC/USDT,2024-06-03 07:00:00+00:00,2024-06-03 12:00:00+00:00,66530.18724272,67107.88112095,0.05981465,-40.5497,-1.02,bear_trend,liquidity_sweep,0.7114,stop_loss,5
BTC/USDT,2024-06-03 17:00:00+00:00,2024-06-03 22:00:00+00:00,67557.40508337,66933.4646798,0.05887941,-42.6763,-1.07,volatility_expansion,momentum_breakout,0.6443,stop_loss,5
BTC/USDT,2024-06-03 22:00:00+00:00,2024-06-05 11:00:00+00:00,67280.44360518,66025.52959166,0.05909459,68.2504,1.72,volatility_expansion,liquidity_sweep,0.68,take_profit,37
BTC/USDT,2024-06-05 13:00:00+00:00,2024-06-07 16:00:00+00:00,66252.59111123,66904.73609172,0.06005078,-45.159,-1.14,bear_trend,trend,0.6402,stop_loss,51
BTC/USDT,2024-06-08 04:00:00+00:00,2024-06-08 10:00:00+00:00,67290.20923514,66775.83399961,0.05909626,-36.3398,-0.91,bull_trend,trend,0.7587,stop_loss,6
BTC/USDT,2024-06-08 10:00:00+00:00,2024-06-08 14:00:00+00:00,66847.33219136,66332.75947784,0.05946415,-36.5382,-0.92,bull_trend,trend,0.515,stop_loss,4
BTC/USDT,2024-06-08 21:00:00+00:00,2024-06-09 15:00:00+00:00,65964.62765736,65559.37400456,0.06023592,-30.3527,-0.76,bear_trend,liquidity_sweep,0.4578,stop_loss,18
BTC/USDT,2024-06-09 18:00:00+00:00,2024-06-10 07:00:00+00:00,65686.93466091,65143.2463408,0.06047032,26.9435,0.68,bear_trend,trend,0.8173,take_profit,13
BTC/USDT,2024-06-10 12:00:00+00:00,2024-06-10 21:00:00+00:00,64896.09314789,65752.26700108,0.06122202,46.4178,1.17,bear_trend,liquidity_sweep,0.6775,take_profit,9
BTC/USDT,2024-06-10 23:00:00+00:00,2024-06-11 02:00:00+00:00,65449.3574963,64994.64770523,0.06073092,-33.5564,-0.84,bull_trend,trend,0.4809,stop_loss,3
BTC/USDT,2024-06-11 04:00:00+00:00,2024-06-12 12:00:00+00:00,64831.68252588,64243.55221953,0.06128701,30.1118,0.76,bear_trend,trend,0.6246,take_profit,32
BTC/USDT,2024-06-12 12:00:00+00:00,2024-06-13 17:00:00+00:00,64445.984064,63968.37121318,0.06167072,-35.3943,-0.89,bear_trend,liquidity_sweep,0.5242,stop_loss,29
BTC/USDT,2024-06-14 07:00:00+00:00,2024-06-14 08:00:00+00:00,63779.87581071,64192.22787209,0.06229065,-31.6643,-0.8,bear_trend,trend,0.6286,stop_loss,1
